Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727793904	2727793904	1	1	5	56	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793904/Limnohabitans_MAG/2727793904_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793387	2727793387	1	1	9	0	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793387/Limnohabitans_MAG/2727793387_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791138	2727791138	1	1	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791138/Limnohabitans_MAG/2727791138_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790718	2727790718	1	1	3	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790718/Limnohabitans_MAG/2727790718_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791857	2727791857	1	1	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791857/Limnohabitans_MAG/2727791857_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791710	2727791710	1	1	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791710/Limnohabitans_MAG/2727791710_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790975	2727790975	1	1	8	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790975/Limnohabitans_MAG/2727790975_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791924	2727791924	1	1	7	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791924/Limnohabitans_MAG/2727791924_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794412	2727794412	1	1	3	45	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794412/Limnohabitans_MAG/2727794412_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792317	2727792317	1	1	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792317/Limnohabitans_MAG/2727792317_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791097	2727791097	1	1	7	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791097/Limnohabitans_MAG/2727791097_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793201	2727793201	1	1	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793201/Limnohabitans_MAG/2727793201_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793658	2727793658	1	1	8	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793658/Limnohabitans_MAG/2727793658_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791065	2727791065	1	1	9	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791065/Limnohabitans_MAG/2727791065_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793052	2727793052	1	1	5	37	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793052/Limnohabitans_MAG/2727793052_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791679	2727791679	1	1	9	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791679/Limnohabitans_MAG/2727791679_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793625	2727793625	1	1	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793625/Limnohabitans_MAG/2727793625_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794020	2727794020	1	1	3	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794020/Limnohabitans_MAG/2727794020_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792297	2727792297	1	1	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792297/Limnohabitans_MAG/2727792297_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791778	2727791778	1	1	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791778/Limnohabitans_MAG/2727791778_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794463	2727794463	1	1	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794463/Limnohabitans_MAG/2727794463_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791780	2727791780	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791780/Limnohabitans_MAG/2727791780_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790931	2727790931	1	1	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790931/Limnohabitans_MAG/2727790931_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790964	2727790964	1	1	9	31	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790964/Limnohabitans_MAG/2727790964_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793411	2727793411	1	1	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793411/Limnohabitans_MAG/2727793411_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792349	2727792349	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792349/Limnohabitans_MAG/2727792349_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790915	2727790915	1	1	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790915/Limnohabitans_MAG/2727790915_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794342	2727794342	1	1	8	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794342/Limnohabitans_MAG/2727794342_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793794	2727793794	1	1	4	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793794/Limnohabitans_MAG/2727793794_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792397	2727792397	1	1	3	46	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792397/Limnohabitans_MAG/2727792397_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792392	2727792392	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792392/Limnohabitans_MAG/2727792392_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793235	2727793235	1	1	3	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793235/Limnohabitans_MAG/2727793235_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793269	2727793269	1	1	9	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793269/Limnohabitans_MAG/2727793269_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794469	2727794469	1	1	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794469/Limnohabitans_MAG/2727794469_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792154	2727792154	1	1	3	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792154/Limnohabitans_MAG/2727792154_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791695	2727791695	1	1	9	34	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791695/Limnohabitans_MAG/2727791695_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791259	2727791259	1	1	8	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791259/Limnohabitans_MAG/2727791259_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790979	2727790979	1	1	5	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790979/Limnohabitans_MAG/2727790979_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792421	2727792421	1	1	4	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792421/Limnohabitans_MAG/2727792421_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792529	2727792529	1	1	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792529/Limnohabitans_MAG/2727792529_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793700	2727793700	1	1	5	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793700/Limnohabitans_MAG/2727793700_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794000	2727794000	1	1	8	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794000/Limnohabitans_MAG/2727794000_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790973	2727790973	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790973/Limnohabitans_MAG/2727790973_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793855	2727793855	1	1	8	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793855/Limnohabitans_MAG/2727793855_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791770	2727791770	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791770/Limnohabitans_MAG/2727791770_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794468	2727794468	1	1	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794468/Limnohabitans_MAG/2727794468_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792288	2727792288	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792288/Limnohabitans_MAG/2727792288_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793627	2727793627	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793627/Limnohabitans_MAG/2727793627_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794362	2727794362	1	1	3	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794362/Limnohabitans_MAG/2727794362_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791895	2727791895	1	1	9	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791895/Limnohabitans_MAG/2727791895_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791290	2727791290	1	1	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791290/Limnohabitans_MAG/2727791290_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791978	2727791978	1	1	3	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791978/Limnohabitans_MAG/2727791978_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790740	2727790740	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790740/Limnohabitans_MAG/2727790740_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793318	2727793318	1	1	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793318/Limnohabitans_MAG/2727793318_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794361	2727794361	1	1	3	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794361/Limnohabitans_MAG/2727794361_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793684	2727793684	1	1	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793684/Limnohabitans_MAG/2727793684_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792914	2727792914	1	1	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792914/Limnohabitans_MAG/2727792914_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791825	2727791825	1	1	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791825/Limnohabitans_MAG/2727791825_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794354	2727794354	1	1	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794354/Limnohabitans_MAG/2727794354_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790810	2727790810	1	1	6	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790810/Limnohabitans_MAG/2727790810_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793414	2727793414	1	1	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793414/Limnohabitans_MAG/2727793414_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793303	2727793303	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793303/Limnohabitans_MAG/2727793303_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793450	2727793450	1	1	6	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793450/Limnohabitans_MAG/2727793450_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793339	2727793339	1	1	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793339/Limnohabitans_MAG/2727793339_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792620	2727792620	1	1	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792620/Limnohabitans_MAG/2727792620_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792024	2727792024	1	1	3	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792024/Limnohabitans_MAG/2727792024_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792471	2727792471	1	1	9	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792471/Limnohabitans_MAG/2727792471_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793600	2727793600	1	1	7	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793600/Limnohabitans_MAG/2727793600_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792115	2727792115	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792115/Limnohabitans_MAG/2727792115_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792764	2727792764	1	1	8	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792764/Limnohabitans_MAG/2727792764_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791316	2727791316	1	1	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791316/Limnohabitans_MAG/2727791316_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791638	2727791638	1	1	3	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791638/Limnohabitans_MAG/2727791638_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791140	2727791140	1	1	4	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791140/Limnohabitans_MAG/2727791140_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793559	2727793559	1	1	6	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793559/Limnohabitans_MAG/2727793559_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793968	2727793968	1	1	3	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793968/Limnohabitans_MAG/2727793968_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792429	2727792429	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792429/Limnohabitans_MAG/2727792429_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790935	2727790935	1	1	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790935/Limnohabitans_MAG/2727790935_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793078	2727793078	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793078/Limnohabitans_MAG/2727793078_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791930	2727791930	1	1	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791930/Limnohabitans_MAG/2727791930_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792814	2727792814	1	1	7	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792814/Limnohabitans_MAG/2727792814_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792670	2727792670	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792670/Limnohabitans_MAG/2727792670_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792541	2727792541	1	1	6	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792541/Limnohabitans_MAG/2727792541_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791777	2727791777	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791777/Limnohabitans_MAG/2727791777_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794080	2727794080	1	1	3	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794080/Limnohabitans_MAG/2727794080_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793673	2727793673	1	1	9	0	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793673/Limnohabitans_MAG/2727793673_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793499	2727793499	1	1	3	57	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793499/Limnohabitans_MAG/2727793499_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791281	2727791281	1	1	3	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791281/Limnohabitans_MAG/2727791281_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792672	2727792672	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792672/Limnohabitans_MAG/2727792672_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794247	2727794247	1	1	7	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794247/Limnohabitans_MAG/2727794247_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790942	2727790942	1	1	9	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790942/Limnohabitans_MAG/2727790942_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791845	2727791845	1	1	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791845/Limnohabitans_MAG/2727791845_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794016	2727794016	1	1	7	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794016/Limnohabitans_MAG/2727794016_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792360	2727792360	1	1	3	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792360/Limnohabitans_MAG/2727792360_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791764	2727791764	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791764/Limnohabitans_MAG/2727791764_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793675	2727793675	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793675/Limnohabitans_MAG/2727793675_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791896	2727791896	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791896/Limnohabitans_MAG/2727791896_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791089	2727791089	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791089/Limnohabitans_MAG/2727791089_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793094	2727793094	1	1	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793094/Limnohabitans_MAG/2727793094_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793612	2727793612	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793612/Limnohabitans_MAG/2727793612_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791483	2727791483	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791483/Limnohabitans_MAG/2727791483_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794352	2727794352	1	1	7	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794352/Limnohabitans_MAG/2727794352_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791749	2727791749	1	1	3	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791749/Limnohabitans_MAG/2727791749_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792733	2727792733	1	1	8	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792733/Limnohabitans_MAG/2727792733_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792726	2727792726	1	1	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792726/Limnohabitans_MAG/2727792726_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791772	2727791772	1	1	9	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791772/Limnohabitans_MAG/2727791772_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792308	2727792308	1	1	9	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792308/Limnohabitans_MAG/2727792308_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792501	2727792501	1	1	3	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792501/Limnohabitans_MAG/2727792501_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
